Date,Price,Open,High,Low,Vol.,Change %,log_return
2015-08-03,8543.05,"8,510.65","8,563.95","8,508.10",161.49M,0.12%,0.0
2015-08-04,8516.9,"8,564.10","8,565.15","8,448.25",193.23M,-0.31%,-0.00306566203071199
2015-08-05,8567.95,"8,547.45","8,591.85","8,545.85",136.95M,0.60%,0.005976072594240236
2015-08-06,8588.65,"8,585.80","8,606.30","8,551.50",139.12M,0.24%,0.0024130666967213904
2015-08-07,8564.6,"8,580.80","8,595.95","8,552.70",148.07M,-0.28%,-0.0028041351649522885
2015-08-10,8525.6,"8,577.00","8,621.55","8,497.80",127.20M,-0.46%,-0.004564027067979434
2015-08-11,8462.35,"8,548.45","8,556.25","8,441.30",159.19M,-0.74%,-0.00744648910180363
2015-08-12,8349.45,"8,445.70","8,446.95","8,337.95",195.90M,-1.33%,-0.013431244392924006
2015-08-13,8355.85,"8,384.45","8,429.50","8,339.75",195.08M,0.08%,0.000766223930503318
2015-08-14,8518.55,"8,402.35","8,530.10","8,381.20",160.68M,1.95%,0.019284246203826075
2015-08-17,8477.3,"8,530.50","8,530.60","8,428.05",180.08M,-0.48%,-0.004854135685655054
2015-08-18,8466.55,"8,505.85","8,525.75","8,433.60",157.99M,-0.13%,-0.0012688971446727342
2015-08-19,8495.15,"8,468.05","8,520.45","8,425.95",134.51M,0.34%,0.003372306679677083
2015-08-20,8372.75,"8,471.05","8,501.35","8,359.75",189.84M,-1.44%,-0.01451302751352893
2015-08-21,8299.95,"8,305.40","8,322.20","8,225.05",207.54M,-0.87%,-0.008732894212009904
2015-08-24,7809.0,"8,055.95","8,060.05","7,769.40",322.10M,-5.92%,-0.060972576007483854
2015-08-25,7880.7,"7,895.40","7,925.40","7,667.25",308.26M,0.92%,0.00913981773118768
2015-08-26,7791.85,"7,865.25","7,930.05","7,777.10",223.26M,-1.13%,-0.011338416770132156
2015-08-27,7948.95,"7,921.60","7,963.60","7,862.30",314.42M,2.02%,0.01996152883021574
2015-08-28,8001.95,"8,053.70","8,091.80","7,961.65",201.57M,0.67%,0.006645417505821892
2015-08-31,7971.3,"8,009.25","8,043.60","7,947.95",204.26M,-0.38%,-0.0038376708080114967
2015-09-01,7785.85,"7,907.95","7,929.10","7,746.50",190.58M,-2.33%,-0.02353960751499542
2015-09-02,7717.0,"7,856.65","7,862.55","7,699.25",222.00M,-0.88%,-0.008882296179158256
2015-09-03,7823.0,"7,774.45","7,845.60","7,754.05",160.61M,1.37%,0.01364242522747763
2015-09-04,7655.05,"7,803.40","7,804.90","7,626.85",199.57M,-2.15%,-0.02170255193598637
2015-09-07,7558.8,"7,685.85","7,705.05","7,545.90",145.76M,-1.26%,-0.012653113333210548
